pH,Temperature,Turbidity,Dissolved_Oxygen,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,88.5,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,87,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,85.6,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,94,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,84.9,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,90.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,87.4,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,95.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,97.8,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,92.3,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,101,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,104,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,104,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,105,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,104,9.6,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,112,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,108,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,119,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,113,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,120,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,118,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,126,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,126,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,137,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,133,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,142,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.4,154,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,139,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,147,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,151,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,148,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,151,9.5,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,155,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,155,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,162,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,156,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,161,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,157,9.4,,,,,,,,,,,,,,,,,,,,,,
7.6,11.3,166,9.4,,,,,,,,,,,,,,,,,,,,,,
